year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Australia;Melbourne;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Australia;Sydney;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Belgium;Brussels ;;19,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Canada;Calgary;;15,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Canada;Montreal;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Canada;Toronto;;27,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Denmark;Copenhagen ;;15,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Finland;Helsinki ;;16,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;France;Paris ;;21,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Greece;Athens ;;21;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Netherlands;Amsterdam ;;20,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;New zealand;Auckland ;;14,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Russia;Moscow;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Russia;Saint Petersburg ;;13,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Spain;Barcelona ;;33;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United Kingdom;London;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United States of America;Los Angeles;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United States of America;New York ;;24,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United States of America;Phoenix;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United States of America;Washington, D.C.;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Armenia;Yerevan ;;2,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Bangladesh;Dhaka;;5,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Bolivia;La Paz;;6,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Brazil;Brasilia ;;12,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Brazil;Sao Paulo;;14,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Burkina Faso;Ouagadougou ;;11;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Central African Republic;Bangui ;;4,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;China;Beijing ;;12,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;China, Hong Kong SAR;Hong Kong ;;21,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Colombia;Bogota;;17,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Colombia;Medellin ;;16,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Egypt;Alexandria;;7,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Egypt;Cairo;;11;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Ethiopia;Addis Ababa ;;8,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Ghana;Accra ;;7,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Guatemala;Guatemala City;;8,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Guyana;Georgetown ;;9,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;India;Chandigarh ;;12,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;India;Kolkota ;;12,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;India;Mumbai;;10;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Indonesia;Jakarta;;9,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Japan;Tokyo ;;20,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Kenya;Nairobi ;;3,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Malaysia;Kuala Lumpur�;;13,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Mexico;Guadalajara ;;14,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Mexico;Mexico City;;12,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Morocco;Casablanca;;11,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Nigeria;Abuja ;;10,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Nigeria;Lagos;;10;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Philippines;Manila;;10;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Rwanda;Kigali ;;7,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Senegal;Dakar ;;10,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Singapore;Singapore ;;15,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;South Africa;Cape Town;;15,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;South Africa;Johannesburg;;10,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Thailand;Bangkok ;;10,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United Republic of Tanzania;Dar es Salaam;;7,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;United Republic of Tanzania;Dodoma;;9,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Zambia;Lusaka;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_total;Proportion of land allocated to street – Total;p;total;;Zimbabwe;Harare;;12,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
