year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;street_density;Street density in km2;km2;city_core;;Australia;Melbourne;;22,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Australia;Sydney;;22;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Belgium;Brussels ;;19,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Canada;Calgary;;19,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Canada;Montreal;;24,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Canada;Toronto;;28,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Denmark;Copenhagen ;;19,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Finland;Helsinki ;;25,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;France;Paris ;;27,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Greece;Athens ;;28,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Netherlands;Amsterdam ;;30,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Newzealand;Auckland ;;12,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Russia;Moscow;;12,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Russia;Saint Petersburg ;;14,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Spain;Barcelona ;;23,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;United Kingdom;London;;25,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;United States of America;Los Angeles;;20;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;United States of America;New York ;;26,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;United States of America;Phoenix;;17,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;United States of America;Washington, D.C.;;21,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Armenia;Yerevan ;;6,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Bangladesh;Dhaka;;7,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Bolivia;La Paz;;21,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Brazil;Brasilia ;;13,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Brazil;Sao Paulo;;16,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Burkina Faso;Ouagadougou ;;14,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Central African Republic;Bangui ;;4,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;China;Beijing ;;17,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;China, Hong Kong SAR;Hong Kong ;;35,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Colombia;Bogota;;17,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Colombia;Medellin ;;18,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Egypt;Alexandria;;14,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Egypt;Cairo;;15,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Ethiopia;Addis Ababa ;;13,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Ghana;Accra ;;10;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Guatemala;Guatemala City;;21;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Guyana;Georgetown ;;12,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;India;Chandigarh ;;15,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;India;Kolkota ;;22,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;India;Mumbai;;15;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Indonesia;Jakarta;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Japan;Tokyo ;;30,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Kenya;Nairobi ;;7,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Malaysia;Kuala Lumpur�;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Mexico;Guadalajara ;;20,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Mexico;Mexico City;;21,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Morocco;Casablanca;;15,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Nigeria;Abuja ;;10,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Nigeria;Lagos;;13,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Philippines;Manila;;19,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Rwanda;Kigali ;;9,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Senegal;Dakar ;;19,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Singapore;Singapore ;;16,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;South Africa;Cape Town;;21;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;South Africa;Johannesburg;;14,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;street_density;Street density in km2;km2;city_core;;Thailand;Bangkok ;;14,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
