year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Australia;Melbourne;;862;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Australia;Sydney;;851;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Belgium;Brussels ;;749;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Canada;Calgary;;785;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Canada;Montreal;;928;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Canada;Toronto;;983;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Denmark;Copenhagen ;;708;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Finland;Helsinki ;;857;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;France;Paris ;;972;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Greece;Athens ;;970;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Netherlands;Amsterdam ;;990;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Newzealand;Auckland ;;620;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Russia;Moscow;;449;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Russia;Saint Petersburg ;;658;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Spain;Barcelona ;;923;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;United Kingdom;London;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;United States of America;Los Angeles;;772;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;United States of America;New York ;;953;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;United States of America;Phoenix;;642;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;United States of America;Washington, D.C.;;834;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Armenia;Yerevan ;;147;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Bangladesh;Dhaka;;148;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Bolivia;La Paz;;703;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Brazil;Brasilia ;;480;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Brazil;Sao Paulo;;564;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Burkina Faso;Ouagadougou ;;452;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Central African Republic;Bangui ;;123;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;China;Beijing ;;592;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;China, Hong Kong SAR;Hong Kong ;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Colombia;Bogota;;646;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Colombia;Medellin ;;679;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Egypt;Alexandria;;579;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Egypt;Cairo;;636;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Ethiopia;Addis Ababa ;;428;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Ghana;Accra ;;287;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Guatemala;Guatemala City;;656;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;Guyana;Georgetown ;;392;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;India;Chandigarh ;;526;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;India;Kolkota ;;714;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;city_core;;India;Mumbai;;478;Table 2: Composite Street Connectivity Index ;Public spaces
