year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Australia;Melbourne;;413;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Australia;Sydney;;394;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Belgium;Brussels ;;407;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Canada;Calgary;;239;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Canada;Montreal;;505;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Canada;Toronto;;521;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Denmark;Copenhagen ;;223;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Finland;Helsinki ;;447;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;France;Paris ;;414;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Greece;Athens ;;448;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Netherlands;Amsterdam ;;393;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Newzealand;Auckland ;;245;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Russia;Moscow;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Russia;Saint Petersburg ;;228;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Spain;Barcelona ;;343;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United Kingdom;London;;498;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United States of America;Los Angeles;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United States of America;New York ;;386;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United States of America;Phoenix;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United States of America;Washington, D.C.;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Armenia;Yerevan ;;21;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Bangladesh;Dhaka;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Bolivia;La Paz;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Brazil;Brasilia ;;211;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Brazil;Sao Paulo;;250;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Burkina Faso;Ouagadougou ;;224;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Central African Republic;Bangui ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;China;Beijing ;;114;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;China, Hong Kong SAR;Hong Kong ;;302;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Colombia;Bogota;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Colombia;Medellin ;;262;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Egypt;Alexandria;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Egypt;Cairo;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Ethiopia;Addis Ababa ;;195;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Ghana;Accra ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Guatemala;Guatemala City;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Guyana;Georgetown ;;189;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;India;Chandigarh ;;260;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;India;Kolkota ;;414;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;India;Mumbai;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Indonesia;Jakarta;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Japan;Tokyo ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Kenya;Nairobi ;;63;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Malaysia;Kuala Lumpurﾠ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Mexico;Guadalajara ;;428;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Mexico;Mexico City;;338;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Morocco;Casablanca;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Nigeria;Abuja ;;126;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Nigeria;Lagos;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Philippines;Manila;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Rwanda;Kigali ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Senegal;Dakar ;;85;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Singapore;Singapore ;;237;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;South Africa;Cape Town;;459;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;South Africa;Johannesburg;;240;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Thailand;Bangkok ;;143;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United Republic of Tanzania;Dar es Salaam;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;United Republic of Tanzania;Dodoma;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Zambia;;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;composite_street_connectivity_index;Composite street connectivity index;index;sub_urban;;Zimbabwe;Harare;;;Table 2: Composite Street Connectivity Index ;Public spaces
