year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;intersection_density_index;Intersection density index;index;city_core;;Australia;Melbourne;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Australia;Sydney;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Belgium;Brussels ;;809;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Canada;Calgary;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Canada;Montreal;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Canada;Toronto;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Denmark;Copenhagen ;;743;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Finland;Helsinki ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;France;Paris ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Greece;Athens ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Netherlands;Amsterdam ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Newzealand;Auckland ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Russia;Moscow;;497;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Russia;Saint Petersburg ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Spain;Barcelona ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;United Kingdom;London;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;United States of America;Los Angeles;;932;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;United States of America;New York ;;0,99;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;United States of America;Phoenix;;757;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;United States of America;Washington, D.C.;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Armenia;Yerevan ;;103;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Bangladesh;Dhaka;;59;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Bolivia;La Paz;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Brazil;Brasilia ;;463;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;intersection_density_index;Intersection density index;index;city_core;;Brazil;Sao Paulo;;0,54;Table 2: Composite Street Connectivity Index ;Public spaces
