year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Australia;Melbourne;;868;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Australia;Sydney;;852;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Belgium;Brussels ;;831;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Canada;Calgary;;746;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Canada;Montreal;;968;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Canada;Toronto;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Denmark;Copenhagen ;;748;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Finland;Helsinki ;;755;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;France;Paris ;;990;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Greece;Athens ;;952;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Netherlands;Amsterdam ;;969;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Newzealand;Auckland ;;590;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Russia;Moscow;;448;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Russia;Saint Petersburg ;;603;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Spain;Barcelona ;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;United Kingdom;London;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;United States of America;Los Angeles;;754;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;United States of America;New York ;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;United States of America;Phoenix;;631;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;United States of America;Washington, D.C.;;820;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Armenia;Yerevan ;;176;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Bangladesh;Dhaka;;241;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Bolivia;La Paz;;494;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Brazil;Brasilia ;;541;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Brazil;Sao Paulo;;638;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Burkina Faso;Ouagadougou ;;390;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Central African Republic;Bangui ;;172;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;China;Beijing ;;624;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;China, Hong Kong SAR;Hong Kong ;;1000;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index_city_core;Land allocated to street index – City core;index;city_core;;Colombia;Bogota;;793;Table 2: Composite Street Connectivity Index ;Public spaces
