year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Australia;Melbourne;;409;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Australia;Sydney;;394;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Belgium;Brussels ;;440;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Canada;Calgary;;253;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Canada;Montreal;;484;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Canada;Toronto;;516;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Denmark;Copenhagen ;;266;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Finland;Helsinki ;;304;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;France;Paris ;;414;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Greece;Athens ;;429;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Netherlands;Amsterdam ;;360;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Newzealand;Auckland ;;312;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Russia;Moscow;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Russia;Saint Petersburg ;;250;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Spain;Barcelona ;;415;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;United Kingdom;London;;483;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;United States of America;Los Angeles;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;United States of America;New York ;;390;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;United States of America;Phoenix;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;United States of America;Washington, D.C.;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Armenia;Yerevan ;;23;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Bangladesh;Dhaka;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Bolivia;La Paz;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Brazil;Brasilia ;;247;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Brazil;Sao Paulo;;295;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Burkina Faso;Ouagadougou ;;173;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Central African Republic;Bangui ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;China;Beijing ;;177;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;China, Hong Kong SAR;Hong Kong ;;279;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Colombia;Bogota;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Colombia;Medellin ;;339;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Egypt;Alexandria;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Egypt;Cairo;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Ethiopia;Addis Ababa ;;185;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Ghana;Accra ;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Guatemala;Guatemala City;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Guyana;Georgetown ;;208;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;India;Chandigarh ;;264;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;India;Kolkota ;;275;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;India;Mumbai;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Indonesia;Jakarta;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;land_allocated_to_street_index;Land allocated to street index;index;sub_urban;;Japan;Tokyo ;;;Table 2: Composite Street Connectivity Index ;Public spaces
