year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;street_density_index;Street density index;index;city_core;;Australia;Melbourne;;738;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Australia;Sydney;;724;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Belgium;Brussels ;;624;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Canada;Calgary;;647;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Canada;Montreal;;824;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Canada;Toronto;;951;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Denmark;Copenhagen ;;638;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Finland;Helsinki ;;834;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;France;Paris ;;928;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Greece;Athens ;;959;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Netherlands;Amsterdam ;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Newzealand;Auckland ;;403;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Russia;Moscow;;406;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Russia;Saint Petersburg ;;472;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Spain;Barcelona ;;786;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;United Kingdom;London;;1;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;United States of America;Los Angeles;;654;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;United States of America;New York ;;874;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;United States of America;Phoenix;;555;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;United States of America;Washington, D.C.;;708;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Armenia;Yerevan ;;176;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Bangladesh;Dhaka;;229;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Bolivia;La Paz;;703;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Brazil;Brasilia ;;441;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Brazil;Sao Paulo;;521;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Burkina Faso;Ouagadougou ;;476;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;city_core;;Central African Republic;Bangui ;;128;Table 2: Composite Street Connectivity Index ;Public spaces
