year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;street_density_index;Street density index;index;sub_urban;;Australia;Melbourne;;372;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Australia;Sydney;;359;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Belgium;Brussels ;;368;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Canada;Calgary;;248;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Canada;Montreal;;441;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Canada;Toronto;;461;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Denmark;Copenhagen ;;223;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Finland;Helsinki ;;426;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;France;Paris ;;0,38;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Greece;Athens ;;418;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Netherlands;Amsterdam ;;367;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Newzealand;Auckland ;;235;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Russia;Moscow;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Russia;Saint Petersburg ;;218;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Spain;Barcelona ;;313;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;United Kingdom;London;;434;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;United States of America;Los Angeles;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;United States of America;New York ;;359;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;United States of America;Phoenix;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;United States of America;Washington, D.C.;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Armenia;Yerevan ;;21;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Bangladesh;Dhaka;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Bolivia;La Paz;;;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Brazil;Brasilia ;;195;Table 2: Composite Street Connectivity Index ;Public spaces
2013;;street_density_index;Street density index;index;sub_urban;;Brazil;Sao Paulo;;234;Table 2: Composite Street Connectivity Index ;Public spaces
