year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;United Kingdom;London;;998;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Japan;Tokyo ;;986;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Finland;Helsinki ;;857;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Netherlands;Amsterdam ;;990;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;France;Paris ;;972;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Canada;Toronto;;983;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Spain;Barcelona ;;923;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Greece;Athens ;;970;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Denmark;Copenhagen ;;708;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Belgium;Brussels ;;749;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;United States of America;New York;;953;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Mexico;Mexico City;;760;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;composite_street_connectivity_index;Composite Street Connectivity Index (CSCI);index;;;Newzealand;Auckland ;;463;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
