year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;United Kingdom;London;;920;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Japan;Tokyo ;;936;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Finland;Helsinki ;;944;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Netherlands;Amsterdam ;;933;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;France;Paris ;;895;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Canada;Toronto;;963;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Spain;Barcelona ;;908;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Greece;Athens ;;884;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Denmark;Copenhagen ;;928;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Belgium;Brussels ;;922;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;United States of America;New York;;941;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Mexico;Mexico City;;908;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
