year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;United Kingdom;London;;793;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Japan;Tokyo ;;828;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Finland;Helsinki ;;890;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Netherlands;Amsterdam ;;818;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;France;Paris ;;788;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Canada;Toronto;;733;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Spain;Barcelona ;;755;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Greece;Athens ;;762;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Denmark;Copenhagen ;;922;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Belgium;Brussels ;;783;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;United States of America;New York;;502;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Mexico;Mexico City;;550;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Newzealand;Auckland ;;657;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;China;Beijing ;;967;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Russia;Moscow;;550;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Brazil;Sao Paulo;;507;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Egypt;Cairo;;692;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Thailand;Bangkok ;;533;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Colombia;Medellin ;;394;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_equity_index;Equity/Social Inclusion Index (EI);index;;;Morocco;Casablanca;;472;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
