year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;United Kingdom;London;;997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Japan;Tokyo ;;989;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Finland;Helsinki ;;997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Netherlands;Amsterdam ;;995;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;France;Paris ;;996;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Canada;Toronto;;997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Spain;Barcelona ;;995;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Greece;Athens ;;996;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Denmark;Copenhagen ;;997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Belgium;Brussels ;;997;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;United States of America;New York;;994;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Mexico;Mexico City;;960;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Newzealand;Auckland ;;994;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;China;Beijing ;;911;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Russia;Moscow;;960;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Brazil;Sao Paulo;;918;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Egypt;Cairo;;916;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Thailand;Bangkok ;;871;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Colombia;Medellin ;;959;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_infrastructure_index;Infrastructure Development Index (FI);index;;;Morocco;Casablanca;;827;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
