year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_productivity_index;Productivity Index (PI);index;;;United Kingdom;London;;923;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Japan;Tokyo ;;850;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Finland;Helsinki ;;890;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Netherlands;Amsterdam ;;866;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;France;Paris ;;895;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Canada;Toronto;;874;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Spain;Barcelona ;;829;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Greece;Athens ;;800;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Denmark;Copenhagen ;;855;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Belgium;Brussels ;;862;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;United States of America;New York;;940;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Mexico;Mexico City;;806;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Newzealand;Auckland ;;854;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;China;Beijing ;;667;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Russia;Moscow;;806;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Brazil;Sao Paulo;;742;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Egypt;Cairo;;679;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Thailand;Bangkok ;;719;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Colombia;Medellin ;;600;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Morocco;Casablanca;;634;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;South Africa;Cape Town;;628;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Guatemala;Guatemala City;;440;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Senegal;Dakar ;;510;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Armenia;Yerevan ;;635;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Bolivia;La Paz;;363;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Kenya;Nairobi ;;481;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;United Republic of Tanzania;Dar-es-salam;;427;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Ghana;Accra ;;347;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Bangladesh;Dhaka;;545;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;South Africa;Johannesburg;;654;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Ethiopia;Addis Ababa ;;503;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_productivity_index;Productivity Index (PI);index;;;Nigeria;Lagos;;475;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
