year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2000;;urban_population_share_national;Share in national urban population;p;;;Algeria;El Djazaïr  (Algiers);;12,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Algeria;Wahran (Oran);;3,8;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Angola;Huambo;;8,5;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Angola;Luanda;;38,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Benin;Cotonou;;25,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Burkina Faso;Ouagadougou;;42,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Cameroon;Douala;;20,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Cameroon;Yaoundé;;18,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Chad;N'Djaména;;39,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Congo;Brazzaville;;55,5;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Congo;Pointe-Noire;;29,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Côte d'Ivoire;Abidjan;;41,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Côte d'Ivoire;Yamoussoukro;;4,8;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Democratic Republic of the Congo;Kananga;;3,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Democratic Republic of the Congo;Kinshasa;;37,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Democratic Republic of the Congo;Kisangani;;3,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Democratic Republic of the Congo;Lubumbashi;;6,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Democratic Republic of the Congo;Mbuji-Mayi;;6,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Egypt;Al-Iskandariyah (Alexandria);;12,4;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Egypt;Al-Qahirah (Cairo);;35,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Ethiopia;Addis Ababa;;24,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Ghana;Accra;;19,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Ghana;Kumasi;;14,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Guinea;Conakry;;47,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Kenya;Mombasa;;11,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Kenya;Nairobi;;35,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Liberia;Monrovia;;66,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Libyan Arab Jamahiriya;Tarabulus (Tripoli);;25,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Madagascar;Antananarivo;;32,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Malawi;Lilongwe;;29,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Mali;Bamako;;36,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Mauritania;Nouakchott;;52,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Agadir;;4,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Dar-el-Beida (Casablanca);;19,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Fès;;5,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Marrakech;;4,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Rabat;;9,8;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Morocco;Tanger;;3,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Mozambique;Maputo;;19,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Mozambique;Matola;;9,4;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Niger;Niamey;;38,5;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Aba;;1,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Abuja;;1,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Benin City;;1,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Enugu;;1,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Ibadan;;4,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Ilorin;;1,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Jos;;1,2;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Kaduna;;2,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Kano;;5,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Lagos;;13,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Maiduguri;;1,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Ogbomosho;;1,5;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Onitsha;;1,0;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Nigeria;Port Harcourt;;2,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Rwanda;Kigali;;44,6;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Senegal;Dakar;;52,9;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Sierra Leone;Freetown;;46,4;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;Somalia;Muqdisho (Mogadishu);;48,8;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Cape Town;;10,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Durban;;9,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Ekurhuleni (East Rand);;9,1;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Johannesburg;;10,7;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Port Elizabeth;;3,8;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Pretoria;;4,3;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2000;;urban_population_share_national;Share in national urban population;p;;;South Africa;Vereeniging;;3,5;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
