year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Algeria;El Djazaïr  (Algiers);;2,35;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Algeria;Wahran (Oran);;1,71;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Angola;Huambo;;4,72;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Angola;Luanda;;4,56;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Benin;Cotonou;;3,82;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Burkina Faso;Ouagadougou;;6,50;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Cameroon;Douala;;3,72;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Cameroon;Yaoundé;;3,88;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Chad;N'Djaména;;3,83;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Congo;Brazzaville;;2,86;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Congo;Pointe-Noire;;2,92;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Côte d'Ivoire;Abidjan;;3,51;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Côte d'Ivoire;Yamoussoukro;;6,12;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Democratic Republic of the Congo;Kananga;;4,24;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Democratic Republic of the Congo;Kinshasa;;3,81;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Democratic Republic of the Congo;Kisangani;;4,21;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Democratic Republic of the Congo;Lubumbashi;;4,12;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Democratic Republic of the Congo;Mbuji-Mayi;;4,16;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Egypt;Al-Iskandariyah (Alexandria);;2,26;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Egypt;Al-Qahirah (Cairo);;1,84;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Ethiopia;Addis Ababa;;2,85;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Ghana;Accra;;3,78;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Ghana;Kumasi;;3,84;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Guinea;Conakry;;4,28;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Kenya;Mombasa;;4,06;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Kenya;Nairobi;;4,23;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Liberia;Monrovia;;-2,68;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Libyan Arab Jamahiriya;Tarabulus (Tripoli);;1,75;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Madagascar;Antananarivo;;4,86;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Malawi;Lilongwe;;4,82;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Mali;Bamako;;4,39;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Mauritania;Nouakchott;;3,57;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Agadir;;2,26;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Dar-el-Beida (Casablanca);;1,74;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Fès;;2,15;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Marrakech;;2,17;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Rabat;;2,03;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Morocco;Tanger;;2,31;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Mozambique;Maputo;;2,86;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Mozambique;Matola;;3,89;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Niger;Niamey;;5,80;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Aba;;4,04;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Abuja;;4,97;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Benin City;;3,99;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Enugu;;4,17;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Ibadan;;3,78;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Ilorin;;3,94;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Jos;;3,94;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Kaduna;;3,84;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Kano;;3,73;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Lagos;;3,83;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Maiduguri;;3,83;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Ogbomosho;;3,97;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Onitsha;;4,40;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Nigeria;Port Harcourt;;4,32;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Rwanda;Kigali;;4,45;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
2010;2010-2020;avg_annual_rate_change_percentage_urban;Annual urban population change %;p;;;Senegal;Dakar;;3,68;Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change
