year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Egypt;Cairo;;14.500.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Central African Rep.;Bangui;;700;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Nigeria;Lagos;;11.223.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Kenya;Nairobi;;3.600.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Ghana;Accra;;3.600.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Tanzania;Dar es Salaam;;3.200.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Senegal;Dakar;;2.930.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Ethiopia;Addis Abeba;;3.125.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Morocco;Casablanca;;3.010.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Nigeria;Abuja;;2.153.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Burkina Faso;Ouagadougou;;1.910.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Rwanda;Kigali;;940;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Japan;Tokyo-Yokohama;;36.900.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Indonesia;Jakarta (Jabotabek);;24.750.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Philippines;Manila;;19.850.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;China;Beijing, BJ;;16.800.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;India;Mumbai, MAH;;16.600.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;India;Kolkota, WB;;14.113.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;India;Chandigarh, CH;;1.026.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Thailand;Bangkok;;13.500.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Bangladesh;Dhaka;;13.600.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;China;Hong Kong, HK;;7.050.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Malaysia;Kuala Lumpur;;6.100.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Singapore;Singapore;;5.150.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Armenia;Yerevan;;1.300.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;United States;New York, NY-NJ-CT;;20.366.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;United States;Los Angeles, CA;;14.667.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;France;Paris;;10.355.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;United Kingdom;London;;9.400.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;United States;Washington, DC-VA-MD;;4.587.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Spain;Barcelona;;4.500.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;United States;Phoenix, AZ;;3.879.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Greece;Athens;;3.500.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Belgium;Brussels;;1.900.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;New Zealand;Auckland;;1.250.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Denmark;Copenhagen;;1.180.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;base_year_population_estimate;Base year population estimate of urban agglomeration;1000;;;Finland;Helsinki;;1.120.000;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
