year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Egypt;Cairo;;9.1;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Central African Rep.;Bangui;;7.1;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Nigeria;Lagos;;13.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Kenya;Nairobi;;8;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Ghana;Accra;;4.2;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Tanzania;Dar es Salaam;;6.5;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Senegal;Dakar;;16.8;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Ethiopia;Addis Abeba;;8.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Morocco;Casablanca;;14.2;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Nigeria;Abuja;;10.5;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Burkina Faso;Ouagadougou;;6.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Rwanda;Kigali;;9.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Japan;Tokyo-Yokohama;;4.4;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Indonesia;Jakarta (Jabotabek);;9.6;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Philippines;Manila;;14.8;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;China;Beijing, BJ;;5.2;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;India;Mumbai, MAH;;31.7;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;India;Kolkota, WB;;12.1;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;India;Chandigarh, CH;;5.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Thailand;Bangkok;;6.2;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Bangladesh;Dhaka;;44.5;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;China;Hong Kong, HK;;26.1;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Malaysia;Kuala Lumpur;;3.4;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Singapore;Singapore;;10.2;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Armenia;Yerevan;;4;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;United States;New York, NY-NJ-CT;;1.8;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;United States;Los Angeles, CA;;2.4;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;France;Paris;;3.8;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;United Kingdom;London;;5.9;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;United States;Washington, DC-VA-MD;;1.4;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
2013;;urban_agglomeration_density;Urban agglomeration density;km2;;;Spain;Barcelona;;4.3;Table 5 Population Density of Urban Agglomerations in Selected Cities;Slum dwellers
