year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;China;;;32,9;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Mongolia;;;57,9;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Bangladesh;;;70,8;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;India;;;34,8;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Nepal;;;60,7;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Pakistan;;;47,5;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Cambodia;;;78,9;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Indonesia;;;26,3;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Lao People's Democratic Republic;;;79,3;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Myanmar;;;45,6;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Philippines;;;43,7;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Thailand;;;26,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Viet Nam;;;41,3;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Iraq;;;52,8;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Jordan;;;15,8;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Lebanon;;;53,1;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Saudi Arabia;;;18,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Syrian Arab Republic;;;10,5;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Turkey;;;15,5;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Yemen;;;67,2;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Argentina;;;26,2;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Belize;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Bolivia;;;50,4;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Brazil;;;29,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Chile;;;9,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2005;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Colombia;;;17,9;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
