year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2000;;urban_slum_population;Urban slum population;1000;;;China;;;169.102;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Mongolia;;;882;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Bangladesh;;;25.819;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;India;;;119.698;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Nepal;;;2.100;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Pakistan;;;23.890;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Cambodia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Indonesia;;;29.691;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Lao People's Democratic Republic;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Myanmar;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Philippines;;;17.613;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Thailand;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Viet Nam;;;9.395;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Iraq;;;2.828;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Jordan;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Lebanon;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Saudi Arabia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Syrian Arab Republic;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Turkey;;;7.714;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Yemen;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Argentina;;;10.953;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Belize;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Bolivia;;;2.794;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Brazil;;;44.604;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Chile;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Colombia;;;6.404;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Costa Rica;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Dominican Republic;;;1.145;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Ecuador;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;El Salvador;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;French Guiana;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Grenada;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Guadeloupe;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Guatemala;;;2.438;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Guyana;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Haiti;;;2.876;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Honduras;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Jamaica;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Mexico;;;14.800;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Nicaragua;;;1.676;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Panama;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Paraguay;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Peru;;;8.776;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Saint Lucia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Suriname;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Trinidad and Tobago;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
2000;;urban_slum_population;Urban slum population;1000;;;Venezuela (Bolivarian Republic of);;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population
