year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2009;;urban_slum_population;Urban slum population;1000;;;China;;;180.56;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Mongolia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Bangladesh;;;27.542;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;India;;;104.679;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Nepal;;;3.075;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Pakistan;;;29.965;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Cambodia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Indonesia;;;23.255;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Lao People's Democratic Republic;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Myanmar;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Philippines;;;18.302;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Thailand;;;6.146;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Viet Nam;;;9.224;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Iraq;;;10.759;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Jordan;;;971;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Lebanon;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Saudi Arabia;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Syrian Arab Republic;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Turkey;;;6.728;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Yemen;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Argentina;;;7.737;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Belize;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Bolivia;;;3.08;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Brazil;;;44.947;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Chile;;;;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2009;;urban_slum_population;Urban slum population;1000;;;Colombia;;;4.899;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
