year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2012;;land_area;Land area;km2;;;;Benguet;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Baguio City;;57,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Kalinga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tabuk City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;57,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ilocos Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Laoag City;;127,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Batac City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Ilocos Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Candon City;;103,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Vigan City;;11,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;La Union;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Fernando City;;109,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pangasinan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Alaminos City;;137,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Dagupan City;;37,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Carlos City;;169,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Urdaneta City;;121,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;815,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cagayan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tuguegarao City;;114,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Isabela;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cauayan City;;336,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Santiago City;;255,0;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;705,4;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bataan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Balanga City;;135,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Bulacan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Malolos City;;67,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Meycauyan City;;22,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Jose del Monte;;165,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Nueva Ecija;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Cabanatuan City;;252,8;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Gapan City;;185,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Palayan City;;45,6;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Jose City;;187,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Science City of Muñoz;;163,1;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Pampanga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Angeles City;;66,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;San Fernando City;;67,7;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tarlac;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Tarlac City;;425,5;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Zambales;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Olongapo City;;170,3;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;1954,2;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;land_area;Land area;km2;;;;Batangas;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
