year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2012;;intersection_density;Intersection density km2;km2;;;;Benguet;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km3;km2;;;;Baguio City;;212;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km4;km2;;;;Kalinga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km5;km2;;;;Tabuk City;;11;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km6;km2;;;;;;223;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km7;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km8;km2;;;;Ilocos Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km9;km2;;;;Laoag City;;102;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km10;km2;;;;Batac City;;144;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km11;km2;;;;Ilocos Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km12;km2;;;;Candon City;;22;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km13;km2;;;;Vigan City;;31;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km14;km2;;;;La Union;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km15;km2;;;;San Fernando City;;72;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km16;km2;;;;Pangasinan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km17;km2;;;;Alaminos City;;29;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km18;km2;;;;Dagupan City;;30;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km19;km2;;;;San Carlos City;;107;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km20;km2;;;;Urdaneta City;;17;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km21;km2;;;;;;554;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km22;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;intersection_density;Intersection density km23;km2;;;;Cagayan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
