year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2012;;street_density;Street density in km2;km2;;;;Benguet;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Baguio City;;2,48;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Kalinga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tabuk City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;2,57;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Ilocos Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Laoag City;;0,98;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Batac City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Ilocos Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Candon City;;0,13;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Vigan City;;1,41;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;La Union;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Fernando City;;0,19;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Pangasinan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Alaminos City;;0,10;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Dagupan City;;0,47;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Carlos City;;1,15;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Urdaneta City;;0,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;0,92;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Cagayan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tuguegarao City;;0,36;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Isabela;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Cauayan City;;0,16;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Santiago City;;0,12;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;0,18;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Bataan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Balanga City;;0,06;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Bulacan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Malolos City;;0,46;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Meycauyan City;;1,08;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Jose del Monte;;0,49;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Nueva Ecija;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Cabanatuan City;;0,12;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Gapan City;;0,68;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Palayan City;;0,35;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Jose City;;0,22;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Science City of Mu�oz;;0,53;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Pampanga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Angeles City;;3,30;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Fernando City;;0,02;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tarlac;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tarlac City;;0,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Zambales;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Olongapo City;;0,87;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;0,42;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Batangas;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Batangas City;;0,08;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Lipa City;;0,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tanauan City;;0,27;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Cavite;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Cavite City;;2,57;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Dasmari�as City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tagaytay City;;0,45;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Trece Martires City;;0,85;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Laguna;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Bina� City;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Calamba City;;0,03;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;San Pablo City;;0,79;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Sta. Rosa City;;1,52;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Quezon;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Lucena City;;0,36;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
2012;;street_density;Street density in km2;km2;;;;Tayabas City;;0,02;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines;Public spaces
