year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2012;;street_length;Street length;km;;;;Benguet;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Baguio City;;142,70;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Kalinga;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tabuk City;;5,11;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;147,81;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Ilocos Norte;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Laoag City;;124,44;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Batac City;;347,37;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Ilocos Sur;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Candon City;;13,59;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Vigan City;;15,54;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;La Union;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;San Fernando City;;20,51;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Pangasinan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Alaminos City;;13,74;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Dagupan City;;17,58;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;San Carlos City;;194,81;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Urdaneta City;;3,50;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;751,08;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cagayan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Tuguegarao City;;41,10;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Isabela;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Cauayan City;;54,15;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Santiago City;;29,80;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;125,05;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bataan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Balanga City;;7,95;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
2012;;street_length;Street length;km;;;;Bulacan;;;Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines
