"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Egypt";"Cairo";;15071000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Central African Rep.";"Bangui";;792000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Nigeria";"Lagos";;12090000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Kenya";"Nairobi";;4457000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Ghana";"Accra";;3933000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Tanzania";"Dar es Salaam";;3723000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Senegal";"Dakar";;3270000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Ethiopia";"Addis Abeba";;3226000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Morocco";"Casablanca";;3120000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Nigeria";"Abuja";;2360000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Burkina Faso";"Ouagadougou";;2193000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Rwanda";"Kigali";;1055000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Japan";"Tokyo-Yokohama";;37239000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Indonesia";"Jakarta (Jabotabek)";;26746000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Philippines";"Manila";;21241000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"China";"Beijing, BJ";;18241000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"India";"Mumbai, MAH";;17307000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"India";"Kolkota, WB";;14630000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"India";"Chandigarh, CH";;1074000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Thailand";"Bangkok";;14544000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Bangladesh";"Dhaka";;14399000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"China";"Hong Kong, HK";;7162000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Malaysia";"Kuala Lumpur";;6608000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Singapore";"Singapore";;5287000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Armenia";"Yerevan";;1300000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"United States";"New York, NY-NJ-CT";;20673000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"United States";"Los Angeles, CA";;15067000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"France";"Paris";;10869000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"United Kingdom";"London";;9576000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"United States";"Washington, DC-VA-MD";;4825000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
"2013";;"population_estimate_urban_agglomerations";"Population estimate of urban agglomeration";"n";;;"Spain";"Barcelona";;4604000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
