"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Algeria";;;55;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Angola";;;19;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Benin";;;3;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Botswana";;;18;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Burkina Faso";;;4;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Cameroon";;;10;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Central African Republic";;;1;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Chad";;;2;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Congo";;;18;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Côte d’Ivoire";;;24;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Egypt";;;29;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Eritrea";;;1;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Ethiopia";;;1;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Gabon";;;32;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Gambia The";;;13;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Ghana";;;8;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Guinea";;;4;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Guinea-Bissau";;;7;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Kenya";;;12;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Lesotho";;;11;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Liberia";;;14;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Libya";;;165;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Madagascar";;;6;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Malawi";;;4;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Mali";;;3;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
1990;;"total_number_of_motor_vehicles";"Total number of motor vehicles (per 1000 population)";"n";"Number per 1000 population";;"Mauritania";;;10;"World Bank, 2006_Road Federation_2004";"Slum dwellers"
