"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Algeria";;;3572;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Angola";;;2761;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Benin";;;438;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Botswana";;;888;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Burkina Faso";;;622;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Cameroon";;;974;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Congo";;;1026;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Côte d’Ivoire";;;639;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Congo Dem. Rep.";;;4499;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Egypt";;;5150;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Eritrea";;;306;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Gabon";;;650;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Ghana";;;977;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Guinea";;;837;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Kenya";;;1917;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Liberia";;;490;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Libya";;;2757;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Madagascar";;;883;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Malawi";;;710;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Mali";;;733;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Mauritania";;;717;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Morocco";;;1907;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Mozambique";;;2072;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Nigeria";;;3505;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"Senegal";;;906;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
1999;2004;"total_railway_route";"Total railway route";"km";"Total";;"South Africa";;;20047;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
