"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Algeria";;;108302;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Angola";;;51429;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Benin";;;19000;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Botswana";;;24455;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Burkina Faso";;;92495;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Burundi";;;12322;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Cameroon";;;50000;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Central African Republic";;;24307;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Chad";;;33400;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Congo";;;17289;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Côte d’Ivoire";;;80000;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Congo Dem. Rep.";;;153497;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Egypt";;;92370;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Eritrea";;;4010;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Ethiopia";;;37018;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Gabon";;;9170;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Gambia The";;;3742;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Ghana";;;57613;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Guinea";;;44348;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Guinea-Bissau";;;3455;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Kenya";;;63265;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Lesotho";;;5940;"World Bank (2008)_World Development Indicators_2008";"Streets"
2000;2005;"total_road_network";"Total road network (km)";"n";"Total";;"Liberia";;;10600;"World Bank (2008)_World Development Indicators_2008";"Streets"
