"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Burkina Faso";"Ouagadougou ";;;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Cameroon";"Douala ";;60;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Cote d'Ivoire";"Abidjan ";;22;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Ethiopia";"Addis Ababa ";;30;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Ghana";"Accra ";;12;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Guinea";"Conakry ";;78;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Kenya";"Nairobi ";;47;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Mali";"Bamako ";;;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Nigeria";"Lagos ";;;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Rwanda";"Kigali ";;5;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Senegal";"Dakar ";;;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Uganda";"Kampala ";;;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"United Republic of Tanzania";"Dar es Salaam ";;26;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"China";"Beijing";;21;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"China";"Shanghai";;27;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"China";"Taipei";;15;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"India";"Ahmedabad";;22;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"India";"Bangalore";;26;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"India";"Delhi";;21;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"India";"Mumbai";;27;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Japan";"Osaka";;27;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Japan";"Tokyo";;23;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Singapore";"Singapore";;22;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Brazil";"Curitiba";;21;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
2008;;"share_walking";"Share of various modes of transport in use in cities – Walking";"p";;;"Colombia";"Bogota";;15;"Table 11: Shares of various modes of transport in use in selected cities";"Public spaces"
