"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Austria";;;21;"Table 12:  Cycling and walking share of daily trips";"Transport"
1999;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Belgium";;;16;"Table 12:  Cycling and walking share of daily trips";"Transport"
2008;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Denmark";;;16;"Table 12:  Cycling and walking share of daily trips";"Transport"
2005;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Finland";;;22;"Table 12:  Cycling and walking share of daily trips";"Transport"
2008;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"France";;;22;"Table 12:  Cycling and walking share of daily trips";"Transport"
2009;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Germany";;;24;"Table 12:  Cycling and walking share of daily trips";"Transport"
2006;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Ireland";;;11;"Table 12:  Cycling and walking share of daily trips";"Transport"
2008;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Netherlands";;;25;"Table 12:  Cycling and walking share of daily trips";"Transport"
2009;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Norway";;;22;"Table 12:  Cycling and walking share of daily trips";"Transport"
2006;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Sweden";;;23;"Table 12:  Cycling and walking share of daily trips";"Transport"
2008;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"United Kingdom";;;22;"Table 12:  Cycling and walking share of daily trips";"Transport"
2009;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"United States of America";;;11;"Table 12:  Cycling and walking share of daily trips";"Transport"
2006;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Canada";;;11;"Table 12:  Cycling and walking share of daily trips";"Transport"
2006;;"transport_share_countries_walking";"Share of various modes of transport in use in countries – Walking";"p";;;"Australia";;;5;"Table 12:  Cycling and walking share of daily trips";"Transport"
