"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1960;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;360;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1970;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;320;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1980;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;280;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1990;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;260;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1995;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;257;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
2000;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;257;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
2005;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;257;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
2007;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Afghanistan";;;257;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1960;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Albania";;;168.6895244957;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
1970;;"under_5_mortality_rate";"Under-Five mortality rate (Deaths per 1000 live births)";"n";"Total";;"Albania";;;107.4708510638;"Global_UNICEF, WHO, The World Bank and UN Population Division, ‘Levels and Trends of Child Mortality in 2006: Estimates developed by the Inter-agency Group for Child Mortality Estimation’, New York, 2007";"Slum dwellers"
