"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Egypt";"Cairo";;01/09/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Central African Rep.";"Bangui";;01/07/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Nigeria";"Lagos";;03/13/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Kenya";"Nairobi";;8;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Ghana";"Accra";;02/04/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Tanzania";"Dar es Salaam";;05/06/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Senegal";"Dakar";;08/16/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Ethiopia";"Addis Abeba";;03/08/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Morocco";"Casablanca";;02/14/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Nigeria";"Abuja";;05/10/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Burkina Faso";"Ouagadougou";;03/06/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Rwanda";"Kigali";;03/09/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Japan";"Tokyo-Yokohama";;04/04/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Indonesia";"Jakarta (Jabotabek)";;06/09/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Philippines";"Manila";;08/14/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"China";"Beijing, BJ";;02/05/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"India";"Mumbai, MAH";;07/31/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"India";"Kolkota, WB";;01/12/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"India";"Chandigarh, CH";;03/05/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Thailand";"Bangkok";;02/06/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Bangladesh";"Dhaka";;"44.5";"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"China";"Hong Kong, HK";;01/26/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Malaysia";"Kuala Lumpur";;04/03/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Singapore";"Singapore";;02/10/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Armenia";"Yerevan";;4;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"United States";"New York, NY-NJ-CT";;08/01/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"United States";"Los Angeles, CA";;04/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"France";"Paris";;08/03/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"United Kingdom";"London";;09/05/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"United States";"Washington, DC-VA-MD";;04/01/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Spain";"Barcelona";;03/04/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"United States";"Phoenix, AZ";;02/01/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Greece";"Athens";;6;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Belgium";"Brussels";;06/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"New Zealand";"Auckland";;04/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Denmark";"Copenhagen";;07/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Finland";"Helsinki";;04/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Netherlands";"Amsterdam";;05/02/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Russia";"Moscow";;06/03/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Russia";"St. Petersburg";;01/04/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Mexico";"Guadalajara";;05/06/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Colombia";"Medellin";;07/19/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_density";"Urban agglomeration density";"n";;;"Brazil";"Sao Paulo";;05/06/14;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
