"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Egypt";"Cairo";;9100;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Central African Rep.";"Bangui";;7100;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Nigeria";"Lagos";;13300;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Kenya";"Nairobi";;8000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Ghana";"Accra";;4200;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Tanzania";"Dar es Salaam";;6500;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Senegal";"Dakar";;16800;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Ethiopia";"Addis Abeba";;8300;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Morocco";"Casablanca";;14200;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Nigeria";"Abuja";;10500;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Burkina Faso";"Ouagadougou";;6300;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Rwanda";"Kigali";;9300;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Japan";"Tokyo-Yokohama";;4400;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Indonesia";"Jakarta (Jabotabek)";;9600;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Philippines";"Manila";;14800;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"China";"Beijing, BJ";;5200;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"India";"Mumbai, MAH";;31700;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"India";"Kolkota, WB";;12100;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"India";"Chandigarh, CH";;5300;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Thailand";"Bangkok";;6200;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Bangladesh";"Dhaka";;44500;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"China";"Hong Kong, HK";;26100;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Malaysia";"Kuala Lumpur";;3400;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Singapore";"Singapore";;10200;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"Armenia";"Yerevan";;4000;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"United States";"New York, NY-NJ-CT";;1800;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"United States";"Los Angeles, CA";;2400;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
2013;;"urban_agglomeration_population_density";"Urban agglomeration population density";"n";;;"France";"Paris";;3800;"Table 5 Population Density of Urban Agglomerations in Selected Cities";"Slum dwellers"
