"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Algeria";"El Djazaﾕr (Algiers)";;"2.25";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Algeria";"Wahran (Oran)";;"0.94";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Angola";"Huambo";;"5.87";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Angola";"Luanda";;"6.14";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Benin";"Cotonou";;"3.17";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Burkina Faso";"Ouagadougou";;"7.3";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Cameroon";"Douala";;"4.55";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Cameroon";"Yaoundﾎ";;"5.41";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Chad";"N�Djam�na";;"3.89";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Congo";"Brazzaville";;"4.21";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"Congo";"Pointe-Noire";;"4.04";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"C�te d�Ivoire";"Abidjan";;"3.16";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2000;"2000-2010";"avg_annual_rate_change_percentage_urban";"Annual rate of population change in urban agglomerations";"p";;;"C�te d�Ivoire";"Yamoussoukro";;"9.34";"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
