"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Algeria";"El Djaza�r (Algiers)";;2278;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Algeria";"Wahran (Oran)";;706;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Angola";"Huambo";;578;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Angola";"Luanda";;2591;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Benin";"Cotonou";;642;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Burkina Faso";"Ouagadougou";;921;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Cameroon";"Douala";;1490;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Cameroon";"Yaound�";;1351;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Chad";"N�Djam�na";;703;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Congo";"Brazzaville";;1022;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"Congo";"Pointe-Noire";;539;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"C�te d�Ivoire";"Abidjan";;3028;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
"2000";;"urban_population_cities";"Urban population – Cities";"1000";"Total";;"C�te d�Ivoire";"Yamoussoukro";;348;"Source: United Nations Department of Economic and Social Affairs, Population Division (2012) World Urbanization Prospects: The 2011 Revision, United";"Population"
