"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2015;;"urban_population";"Urban population";1000;;;"TH";;;66763;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"urban_population";"Urban population";1000;;;"TH";;;65125;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"urban_population";"Urban population";1000;;;"TH";;;23757;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"urban_population";"Urban population";1000;;;"TH";;;20607;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"urban_population";"Urban population";1000;;;"TH";;;68286;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"urban_population";"Urban population";1000;;;"TH";;;68940;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"urban_population";"Urban population";1000;;;"TH";;;42180;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"urban_population";"Urban population";1000;;;"TH";;;37247;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"urban_population";"Urban population";1000;;;"TH";;;68803;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"urban_population";"Urban population";1000;;;"TH";;;67990;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"urban_population";"Urban population";1000;;;"TJ";;;10760;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"urban_population";"Urban population";1000;;;"TJ";;;4567;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"urban_population";"Urban population";1000;;;"TJ";;;3953;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"urban_population";"Urban population";1000;;;"TJ";;;2512;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"urban_population";"Urban population";1000;;;"TJ";;;2082;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"urban_population";"Urban population";1000;;;"TJ";;;9857;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"urban_population";"Urban population";1000;;;"TJ";;;9434;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"urban_population";"Urban population";1000;;;"TJ";;;7703;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"urban_population";"Urban population";1000;;;"TJ";;;7062;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"urban_population";"Urban population";1000;;;"TJ";;;1783;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"urban_population";"Urban population";1000;;;"TJ";;;1532;"Urban numbers 1.0 data";"Slum dwellers"
