"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2050;;"urban_population";"Urban population";1000;;;"AE";;;8521;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"urban_population";"Urban population";1000;;;"AE";;;1410;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"urban_population";"Urban population";1000;;;"AE";;;1015;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"urban_population";"Urban population";1000;;;"AE";;;144;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"urban_population";"Urban population";1000;;;"AE";;;90;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"urban_population";"Urban population";1000;;;"AE";;;7232;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"urban_population";"Urban population";1000;;;"AE";;;6753;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"urban_population";"Urban population";1000;;;"AE";;;5263;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"urban_population";"Urban population";1000;;;"AE";;;4732;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"urban_population";"Urban population";1000;;;"AE";;;79;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"urban_population";"Urban population";1000;;;"AE";;;70;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"urban_population";"Urban population";1000;;;"AE";;;1867;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"urban_population";"Urban population";1000;;;"AE";;;8134;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"urban_population";"Urban population";1000;;;"AE";;;2432;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"urban_population";"Urban population";1000;;;"AE";;;7698;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"urban_population";"Urban population";1000;;;"AE";;;530;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"urban_population";"Urban population";1000;;;"AE";;;225;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"urban_population";"Urban population";1000;;;"AE";;;6268;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"urban_population";"Urban population";1000;;;"AE";;;3247;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"urban_population";"Urban population";1000;;;"AE";;;5774;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"urban_population";"Urban population";1000;;;"AE";;;4104;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"urban_population";"Urban population";1000;;;"AF";;;79423;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"urban_population";"Urban population";1000;;;"AF";;;12333;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"urban_population";"Urban population";1000;;;"AF";;;13946;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"urban_population";"Urban population";1000;;;"AF";;;10612;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"urban_population";"Urban population";1000;;;"AF";;;9616;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"urban_population";"Urban population";1000;;;"AF";;;59780;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"urban_population";"Urban population";1000;;;"AF";;;53252;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"urban_population";"Urban population";1000;;;"AF";;;35631;"Urban numbers 1.0 data";"Slum dwellers"
