"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Angola";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Benin";;;1311;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Burkina Faso";;;960;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Burundi";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Cameroon";;;2532;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Central African Republic";;;943;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Chad";;;1257;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Comoros";;;80;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Congo";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"C�te d�Ivoire";;;2674;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Democratic Republic of the Congo";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Egypt";;;12607;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Equatorial Guinea";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Ethiopia";;;5819;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Gabon";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Gambia";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Ghana";;;3571;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Guinea";;;1385;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Guinea-Bissau";;;;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
1990;;"urban_slum_population_countries";"Urban slum population – Countries";1000;"Total";;"Kenya";;;2343;"Source: United Nations Human Settlements Programme (UN-Habitat), Global Urban Indicators Database 2012.";"Slum dwellers"
