year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2005;;urban_slum_population;Urban slum population;1000;;;AR;;;9278;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;AR;;;8530;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;AR;;;10940;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;AR;;;9790;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;AR;;;8644;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BD;;;27860;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;BD;;;29871;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;BD;;;25574;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;BD;;;23206;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;BD;;;19552;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BF;;;1520;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;BF;;;1682;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;BF;;;1300;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;BF;;;1125;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;BF;;;966;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BI;;;481;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BJ;;;2439;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;BJ;;;2608;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;BJ;;;2058;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;BJ;;;1753;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;BJ;;;1416;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BO;;;2972;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;BO;;;3030;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;BO;;;2794;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;BO;;;2589;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;BO;;;2304;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BR;;;45613;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;BR;;;45708;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;BR;;;44601;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;BR;;;42856;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;BR;;;40998;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;BZ;;;65;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;CD;;;1110;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;CD;;;1079;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;CD;;;1146;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;CD;;;1131;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;CD;;;1123;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;CI;;;4892;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;CI;;;5249;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;CI;;;4102;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;CI;;;3367;Urban numbers 1.0 data;Slum dwellers
1990;;urban_slum_population;Urban slum population;1000;;;CI;;;2710;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;CL;;;1285;Urban numbers 1.0 data;Slum dwellers
2005;;urban_slum_population;Urban slum population;1000;;;CM;;;4578;Urban numbers 1.0 data;Slum dwellers
2007;;urban_slum_population;Urban slum population;1000;;;CM;;;4841;Urban numbers 1.0 data;Slum dwellers
2000;;urban_slum_population;Urban slum population;1000;;;CM;;;3825;Urban numbers 1.0 data;Slum dwellers
1995;;urban_slum_population;Urban slum population;1000;;;CM;;;3161;Urban numbers 1.0 data;Slum dwellers
