year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2008;;share_walking;Share walking in city;p;;;Burkina Faso;Ouagadougou ;;;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Cameroon;Douala ;;60;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Côte d'Ivoire;Abidjan ;;22;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Ethiopia;Addis Ababa ;;30;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Ghana;Accra ;;12;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Guinea;Conakry ;;78;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Kenya;Nairobi ;;47;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Mali;Bamako ;;;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Nigeria;Lagos ;;;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Rwanda;Kigali ;;5;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Senegal;Dakar ;;;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Uganda;Kampala ;;;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;United Republic of Tanzania;Dar es Salaam ;;26;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;China;Beijing;;21;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;China;Shanghai;;27;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;China;Taipei;;15;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;India;Ahmedabad;;22;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;India;Bangalore;;26;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;India;Delhi;;21;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;India;Mumbai;;27;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Japan;Osaka;;27;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Japan;Tokyo;;23;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Singapore;Singapore;;22;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Brazil;Curitiba;;21;Table 11: Shares of various modes of transport in use in selected cities
2008;;share_walking;Share walking in city;p;;;Colombia;Bogota;;15;Table 11: Shares of various modes of transport in use in selected cities
