year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2010;;owner_bicycle;Ownership of bicycle;p;total;;Burkina Faso;;;84,2;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_bicycle;Ownership of bicycle;p;total;;Burkina Faso;;;78;Table 14: Ownership of Bicycle and Motorcycle
1998;1998-99 ;owner_bicycle;Ownership of bicycle;p;total;;Burkina Faso;;;77,2;Table 14: Ownership of Bicycle and Motorcycle
1993;;owner_bicycle;Ownership of bicycle;p;total;;Burkina Faso;;;66,8;Table 14: Ownership of Bicycle and Motorcycle
1994;1994-95 ;owner_bicycle;Ownership of bicycle;p;total;;Central African Republic;;;11,5;Table 14: Ownership of Bicycle and Motorcycle
2008;;owner_bicycle;Ownership of bicycle;p;total;;Egypt;;;9,8;Table 14: Ownership of Bicycle and Motorcycle
2005;;owner_bicycle;Ownership of bicycle;p;total;;Egypt;;;14,5;Table 14: Ownership of Bicycle and Motorcycle
2000;;owner_bicycle;Ownership of bicycle;p;total;;Egypt;;;14;Table 14: Ownership of Bicycle and Motorcycle
1995;;owner_bicycle;Ownership of bicycle;p;total;;Egypt;;;14,7;Table 14: Ownership of Bicycle and Motorcycle
1992;;owner_bicycle;Ownership of bicycle;p;total;;Egypt;;;12,8;Table 14: Ownership of Bicycle and Motorcycle
2008;;owner_bicycle;Ownership of bicycle;p;total;;Ghana;;;25,7;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_bicycle;Ownership of bicycle;p;total;;Ghana;;;23,1;Table 14: Ownership of Bicycle and Motorcycle
1998;;owner_bicycle;Ownership of bicycle;p;total;;Ghana;;;17,4;Table 14: Ownership of Bicycle and Motorcycle
1993;;owner_bicycle;Ownership of bicycle;p;total;;Ghana;;;16,1;Table 14: Ownership of Bicycle and Motorcycle
2008;2008-09 ;owner_bicycle;Ownership of bicycle;p;total;;Kenya;;;30,1;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_bicycle;Ownership of bicycle;p;total;;Kenya;;;29,3;Table 14: Ownership of Bicycle and Motorcycle
1998;;owner_bicycle;Ownership of bicycle;p;total;;Kenya;;;23,9;Table 14: Ownership of Bicycle and Motorcycle
1993;;owner_bicycle;Ownership of bicycle;p;total;;Kenya;;;22,1;Table 14: Ownership of Bicycle and Motorcycle
2003;2003-04 ;owner_bicycle;Ownership of bicycle;p;total;;Morocco;;;25,4;Table 14: Ownership of Bicycle and Motorcycle
1992;;owner_bicycle;Ownership of bicycle;p;total;;Morocco;;;9,9;Table 14: Ownership of Bicycle and Motorcycle
2008;;owner_bicycle;Ownership of bicycle;p;total;;Nigeria;;;22,9;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_bicycle;Ownership of bicycle;p;total;;Nigeria;;;32,7;Table 14: Ownership of Bicycle and Motorcycle
1999;;owner_bicycle;Ownership of bicycle;p;total;;Nigeria;;;24,2;Table 14: Ownership of Bicycle and Motorcycle
2010;;owner_bicycle;Ownership of bicycle;p;total;;Rwanda;;;15,2;Table 14: Ownership of Bicycle and Motorcycle
2007;2007-08 ;owner_bicycle;Ownership of bicycle;p;total;;Rwanda;;;12,2;Table 14: Ownership of Bicycle and Motorcycle
2005;;owner_bicycle;Ownership of bicycle;p;total;;Rwanda;;;11;Table 14: Ownership of Bicycle and Motorcycle
2000;;owner_bicycle;Ownership of bicycle;p;total;;Rwanda;;;7,6;Table 14: Ownership of Bicycle and Motorcycle
1992;;owner_bicycle;Ownership of bicycle;p;total;;Rwanda;;;6,4;Table 14: Ownership of Bicycle and Motorcycle
