year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;United Kingdom;London;;0,920;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Japan;Tokyo ;;0,936;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Finland;Helsinki ;;0,944;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Netherlands;Amsterdam ;;0,933;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;France;Paris ;;0,895;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Canada;Toronto;;0,963;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Spain;Barcelona ;;0,908;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Greece;Athens ;;0,884;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Denmark;Copenhagen ;;0,928;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Belgium;Brussels ;;0,922;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;United States of America;New York;;0,941;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Mexico;Mexico City;;0,908;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Newzealand;Auckland ;;0,958;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;China;Beijing ;;0,663;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Russia;Moscow;;0,908;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Brazil;Sao Paulo;;0,894;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Egypt;Cairo;;0,616;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Thailand;Bangkok ;;0,850;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Colombia;Medellin ;;0,812;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Morocco;Casablanca;;0,891;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;South Africa;Cape Town;;0,875;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Guatemala;Guatemala City;;0,866;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Senegal;Dakar ;;0,596;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Armenia;Yerevan ;;0,745;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Bolivia;La Paz;;0,606;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Kenya;Nairobi ;;0,889;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;United Republic of Tanzania;Dar-es-salam;;0,822;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Ghana;Accra ;;0,728;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Bangladesh;Dhaka;;0,627;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;South Africa;Johannesburg;;0,816;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Ethiopia;Addis Ababa ;;0,724;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
2013;;cpi_environment_index;Environment Sustainability Index (ESI);index;;;Nigeria;Lagos;;0,659;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI)
